,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
270,-145,1485,15936,1178,-235,-2753,-308,2358,-800,-2538,2022-10-21 16:19:40.863581
271,-142,936,16171,1198,-213,-2886,-311,2379,-809,-2666,2022-10-21 16:19:40.990387
272,-145,825,15974,1411,-220,-2989,-269,2338,-853,-2692,2022-10-21 16:19:41.116120
273,-144,1452,15978,1432,-194,-3256,-347,2215,-746,-2799,2022-10-21 16:19:41.246341
274,-144,2103,15910,1160,-252,-3481,-375,2106,-751,-2899,2022-10-21 16:19:41.375046
275,-145,1785,16367,1348,-268,-3358,-293,1925,-746,-2917,2022-10-21 16:19:41.504580
276,-145,1442,15955,1456,-332,-3337,-318,1824,-736,-3007,2022-10-21 16:19:41.632698
277,-144,1118,15882,1159,-166,-2535,-356,1629,-666,-3065,2022-10-21 16:19:41.766733
278,-144,277,15853,1033,-210,-1423,-240,1621,-692,-3080,2022-10-21 16:19:41.891337
279,-146,444,16880,403,-152,-236,-174,1560,-694,-3103,2022-10-21 16:19:42.020561
280,-145,1392,15876,913,-260,125,-144,1535,-687,-3087,2022-10-21 16:19:42.149901
281,-143,1403,15740,1198,-55,190,-146,1540,-680,-3039,2022-10-21 16:19:42.276758
282,-145,1170,15717,1149,-69,76,-174,1531,-658,-3110,2022-10-21 16:19:42.404016
283,-145,1281,15953,959,-27,92,-130,1544,-702,-3101,2022-10-21 16:19:42.529390
