,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
375,-133,1239,16260,-254,-129,-761,-57,2186,-655,-2251
376,-132,651,15907,338,229,-167,-3,2145,-642,-2279
377,-134,1596,15564,789,5,-1682,71,2122,-621,-2303
378,-132,1931,15651,111,-400,-2810,-164,2172,-658,-2372
379,-131,1447,16098,449,-392,-3260,-30,2179,-663,-2470
380,-130,561,16179,615,-300,-3523,-55,2160,-682,-2597
381,-132,1288,15625,613,-238,-3552,56,2184,-703,-2713
382,-132,770,15786,472,-161,-3401,-28,2045,-682,-2752
383,-131,872,16440,-9,-236,-3624,-54,1922,-635,-2851
384,-129,1009,16202,416,-199,-3603,-68,1879,-662,-2908
385,-134,1289,16095,578,-332,-3518,-73,1787,-714,-2994
386,-134,1322,16109,403,-278,-3400,-120,1574,-640,-3063
387,-133,1640,16148,285,-253,-3356,5,1517,-708,-3060
388,-133,1500,15830,253,-180,-3487,-70,1379,-716,-3096
389,-133,934,16122,266,-278,-3624,-83,1221,-693,-3094
390,-131,1242,16219,234,-190,-3524,-56,1077,-656,-3116
391,-134,1139,15939,756,-215,-3411,-44,946,-742,-3116
392,-134,1284,16188,-223,-243,-3311,-21,813,-768,-3053
393,-132,965,16010,501,-291,-3316,23,730,-810,-2983
394,-132,1267,15997,-75,-289,-2942,-21,607,-742,-2898
395,-133,1238,15889,307,-82,-2649,43,503,-776,-2932
396,-132,1062,16089,34,-230,-2799,47,352,-754,-2845
397,-131,1358,15990,176,-255,-2982,-80,283,-740,-2772
398,-132,686,16212,-163,-246,-2766,-24,204,-763,-2663
399,-130,1285,16207,-25,-160,-2364,-52,119,-752,-2542
400,-135,630,15915,12,-105,-1930,-155,-19,-714,-2450
401,-133,436,15864,83,-149,-915,42,-40,-673,-2400
402,-132,677,15881,-184,-103,-454,-21,-69,-685,-2382
403,-135,598,15788,8,-390,866,-25,-90,-667,-2383
404,-133,813,16144,-188,279,1064,-76,-82,-668,-2399
405,-131,1904,15873,708,-168,155,4,-56,-673,-2417
406,-134,630,16413,-476,-120,-99,-48,-125,-578,-2436
407,-132,5064,15342,302,1,-233,-182,-103,-601,-2401
408,-132,2095,18727,-2612,932,-1328,-1,-47,-714,-2341
409,-135,-774,16251,-81,1695,-159,48,-172,-564,-2254
410,-133,995,14550,-2191,1903,-1263,-468,-221,-537,-2034
411,-132,2338,17137,-4248,1042,-794,254,-219,-454,-1892
412,-132,874,15988,-4431,1842,-650,180,-204,-338,-1712
413,-132,1009,15485,-5637,3147,-567,-75,-228,-196,-1436
414,-134,548,14786,-7604,3221,-256,272,-55,-31,-1270
415,-133,1356,13682,-7755,2727,-111,-177,30,212,-1096
416,-133,47,13000,-10457,2712,28,-169,107,387,-833
417,-134,496,10376,-11619,2120,90,-70,268,499,-701
418,-133,560,10123,-12958,2066,37,-145,379,591,-508
419,-134,1103,9492,-13420,2348,-41,77,594,610,-515
420,-136,228,6949,-14630,2017,17,35,663,789,-361
421,-135,457,7251,-13743,1939,61,-22,788,960,-217
422,-131,1295,7112,-13732,-481,38,137,756,1137,-205
423,-132,394,6355,-13697,-47,58,2,776,1146,-194
424,-134,118,6630,-16203,-84,-35,145,753,1144,-199
425,-133,391,6278,-14119,-205,94,97,778,1150,-217
426,-133,175,6357,-14963,-623,288,145,734,1081,-266
427,-133,365,6142,-14853,-79,120,-26,722,1073,-276
